관측일,지점번호,일평균풍속,일풍정,최대풍향,최대풍속,최대풍속시각,최대순간풍향,최대순간풍속,최대순간풍속시각,일평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일평균이슬점온도,일평균지면온도,일최저초상온도,일평균상대습도,최저습도,최저습도시각,일평균수증기압,소형증발량,대형증발량,안개계속시간,일평균현지기압,일평균해면기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,일평균전운량,일조합,가조시간,캄벨일조,일사합,최대1시간일사,최대1시간일사시각,일강수량,9-9강수량,강수계속시간,1시간최다강수량,1시간최다강수량시각,10분최다강수량,10분최다강수량시각,최대강우강도,최대강우강도시각,최심신적설,최심신적설시각,최심적설,최심적설시각,0.5m지중온도,1.0m지중온도,1.5m지중온도,3.0m지중온도,5.0m지중온도
20200801,136,1.0,887,32,4.3,1931,32,7.8,1925,26.2,31.0,1409,23.1,523,23.0,28.7,22.7,83.9,59.0,1429,28.1,4.1,2.8,-9.00,995.6,1011.5,1013.4,551,1008.6,1848,9.0,4.0,14.0,-9.0,16.37,2.81,1300,6.8,10.0,1.65,6.4,1905,5.7,1922,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,137,0.9,792,23,2.4,1816,23,6.8,1834,26.1,31.2,1304,23.2,447,23.7,28.3,23.0,87.9,66.0,1248,29.4,-9.0,-9.0,-9.00,1000.3,1011.2,1013.3,100,1008.8,1747,9.0,3.5,14.0,-9.0,15.11,2.46,1300,1.0,-9.0,-9.00,0.5,2222,0.4,2237,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,138,2.4,2041,23,3.5,2018,23,6.4,1235,29.3,33.4,1508,25.9,625,23.1,30.2,24.1,70.6,53.0,1629,28.2,5.9,4.2,-9.00,1010.9,1011.3,1013.0,612,1009.2,1913,8.6,5.5,14.0,-9.0,18.45,3.14,1100,0.0,0.0,0.58,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.0,21.7,20.7,18.1,16.2,
20200801,140,2.2,1899,18,5.3,1611,18,7.1,1605,25.7,29.4,1033,23.8,1946,23.8,27.1,23.5,89.6,70.0,1001,29.4,-9.0,-9.0,-9.00,1008.4,1011.0,1013.6,1,1008.6,1722,9.3,2.6,14.0,-9.0,-9.00,-9.00,-9,9.6,-9.0,-9.00,6.1,1537,2.2,1558,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,143,1.1,950,32,3.3,1709,32,4.8,1703,27.7,34.1,1412,23.9,559,22.2,29.9,23.7,74.9,38.0,1413,26.9,5.5,3.8,-9.00,1005.3,1011.4,1013.3,56,1009.4,1825,8.4,4.7,14.0,-9.0,18.91,2.75,1200,0.1,-9.0,2.05,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,146,1.3,1155,23,3.0,1414,25,5.2,1454,26.3,30.8,1038,24.2,528,23.3,28.4,23.8,84.6,63.0,1044,28.6,3.4,2.4,-9.00,1004.2,1011.2,1013.6,1,1009.0,1820,9.0,3.5,14.0,-9.0,13.01,2.55,1000,7.1,6.4,4.75,4.2,1610,1.2,1437,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,152,2.0,1703,20,4.4,1803,23,6.2,1803,28.2,33.3,1348,24.4,339,23.9,28.7,23.7,79.1,52.0,1345,29.6,-9.0,-9.0,-9.00,1001.9,1011.3,1012.8,616,1009.7,1920,8.3,8.2,13.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,155,1.3,1164,18,4.5,1144,18,7.5,1443,27.2,31.8,1356,24.0,505,23.5,30.0,23.8,81.3,60.0,1358,29.0,5.6,3.9,-9.00,1007.7,1011.9,1013.2,26,1010.5,1906,8.3,6.8,13.9,-9.0,20.30,3.10,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,156,1.5,1319,20,5.1,1615,25,8.9,1620,26.3,30.0,1203,23.0,1643,25.0,28.3,23.8,93.5,75.0,1017,31.7,3.6,2.5,-9.00,1003.8,1012.0,1014.0,1,1010.2,1901,8.6,3.4,13.9,-9.0,15.06,2.78,1000,2.9,-9.0,1.20,2.9,1525,2.9,1615,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,159,3.7,3210,20,6.8,1533,20,9.7,1525,26.9,30.0,1307,24.3,344,23.3,30.5,23.1,81.4,64.0,1312,28.6,6.5,4.5,-9.00,1003.8,1011.7,1012.6,58,1010.5,1805,7.9,7.1,13.9,-9.0,22.58,3.20,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.9,23.9,22.8,19.3,18.6,
20200801,162,2.3,1971,20,5.9,2400,20,7.9,2316,26.4,30.5,1419,23.7,455,25.2,28.4,22.9,94.6,64.0,1415,32.2,-9.0,-9.0,-9.00,1008.9,1012.6,1013.8,12,1011.3,1846,7.9,7.0,13.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,165,3.3,2870,20,5.6,1309,18,8.4,1301,27.3,29.9,1142,25.2,548,24.5,27.5,23.1,84.9,67.0,1138,30.7,4.4,3.1,-9.00,1006.7,1011.8,1013.7,1,1010.0,1711,7.9,3.7,13.9,-9.0,14.75,2.64,1000,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.4,22.8,21.2,18.5,16.4,
20200801,168,2.6,2281,20,5.7,1402,20,7.2,1358,26.4,29.0,1315,24.4,506,24.8,28.9,23.6,91.9,72.0,1308,31.4,4.4,3.1,-9.00,1004.9,1012.3,1013.6,1,1010.8,1818,7.5,5.5,13.9,-9.0,18.50,3.20,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.5,24.3,22.5,19.9,17.4,
20200801,169,6.6,5674,18,8.6,2117,18,10.8,2206,23.2,24.6,1633,22.0,2400,23.0,24.5,22.5,99.0,99.0,1,28.2,1.2,0.8,24.00,1001.8,1010.5,1012.6,10,1009.0,1633,10.0,0.0,13.9,-9.0,5.27,0.80,1000,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,170,1.0,900,11,3.1,1238,25,6.9,1506,26.2,29.6,1345,23.7,41,24.1,28.0,23.4,89.0,72.0,1507,29.9,-9.0,-9.0,-9.00,1008.1,1012.1,1013.6,1,1010.4,1752,7.5,3.8,13.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,172,2.7,2347,25,9.2,1546,27,17.6,1539,26.1,29.9,1152,22.4,1556,23.8,26.0,21.6,87.8,70.0,1153,29.4,2.9,2.0,-9.00,1005.8,1011.7,1013.9,1,1009.8,1900,8.9,2.2,13.9,-9.0,8.25,1.52,900,9.4,-9.0,-9.00,9.2,1523,6.8,1539,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,174,1.2,1021,18,3.3,1103,18,5.7,1234,26.2,30.0,1156,22.9,548,23.7,27.0,22.9,87.1,65.0,1202,29.3,-9.0,-9.0,-9.00,993.0,1011.6,1013.2,58,1009.8,1739,-9.0,2.8,13.9,-9.0,-9.00,-9.00,-9,0.4,-9.0,-9.00,0.4,1224,0.4,1314,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,177,1.8,1534,23,4.7,2351,18,9.4,2322,26.0,28.7,1029,24.5,435,24.0,26.6,24.0,89.6,71.0,1105,29.9,2.0,1.4,-9.00,1007.2,1010.3,1013.5,1,1007.8,1625,9.8,0.9,14.0,-9.0,7.38,1.38,1000,6.5,20.5,10.75,3.7,1519,1.2,1608,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,184,1.6,1401,5,4.8,1717,5,6.3,1717,28.2,30.7,1522,25.5,201,23.3,29.4,21.5,74.9,62.0,1242,28.6,6.0,4.2,-9.00,1009.8,1012.2,1014.1,1,1010.6,1704,6.6,6.7,13.8,-9.0,21.56,3.42,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.6,25.6,23.6,21.6,18.3,
20200801,185,5.8,5023,16,7.7,1644,16,9.4,1219,27.3,29.6,1449,25.4,57,26.3,31.1,24.0,94.8,87.0,1422,34.2,4.6,3.2,-9.00,1004.1,1012.1,1014.1,1,1010.7,1654,5.9,7.6,13.8,-9.0,19.19,2.95,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,189,1.4,1207,20,3.3,1755,23,4.8,1751,27.2,29.6,1436,25.6,514,25.9,33.4,23.5,92.6,82.0,131,33.4,-9.0,-9.0,-9.00,1006.8,1012.7,1014.4,1,1011.5,1649,8.5,4.6,13.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,192,0.9,813,27,2.9,1158,20,6.4,1551,26.6,31.1,1159,23.3,244,23.6,28.1,23.0,85.1,61.0,1201,29.2,4.9,3.4,-9.00,1008.7,1012.1,1013.5,747,1010.4,1834,8.6,5.9,13.9,-9.0,18.52,2.94,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,201,1.9,1652,25,4.9,1925,25,8.2,1917,24.4,26.2,1727,23.0,2328,23.5,24.8,23.1,95.4,84.0,1624,28.9,-9.0,-9.0,-9.00,1004.9,1010.4,1013.4,1,1007.8,1743,8.6,0.0,14.1,-9.0,-9.00,-9.00,-9,47.0,-9.0,-9.00,14.6,402,9.8,443,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,202,1.0,867,34,3.0,135,18,5.1,1410,24.3,27.8,1305,22.4,419,23.6,25.6,22.5,96.6,80.0,1201,29.2,-9.0,-9.0,-9.00,1005.9,1011.3,1013.8,132,1008.8,1755,9.6,0.4,14.1,-9.0,-9.00,-9.00,-9,50.4,-9.0,-9.00,22.0,2318,11.1,1404,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,203,1.3,1160,20,3.3,1337,23,6.4,1837,25.4,30.0,1232,23.2,2347,24.5,26.8,22.8,95.3,70.0,1235,30.7,-9.0,-9.0,-9.00,1001.8,1010.9,1013.5,56,1008.4,1736,9.3,0.4,14.1,-9.0,-9.00,-9.00,-9,28.3,-9.0,-9.00,19.9,2254,10.2,2339,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,211,1.0,850,18,3.2,352,16,6.6,346,24.0,26.9,1247,22.5,2307,22.4,25.9,22.1,91.5,77.0,1248,27.1,-9.0,-9.0,-9.00,988.1,1010.9,1013.0,602,1009.1,1809,9.5,0.0,14.1,-9.0,-9.00,-9.00,-9,9.6,-9.0,-9.00,4.1,1459,1.8,1700,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,212,0.8,662,36,3.1,1440,29,5.6,1502,23.8,27.6,1316,21.9,300,22.4,24.9,22.0,92.6,77.0,1219,27.2,-9.0,-9.0,-9.00,995.0,1011.0,1013.3,154,1008.6,1806,8.9,0.1,14.1,-9.0,-9.00,-9.00,-9,53.2,-9.0,-9.00,32.7,1428,13.4,1458,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,216,1.2,1028,23,3.8,1731,27,6.5,1730,22.7,26.6,1327,19.4,635,19.7,26.0,19.3,84.6,63.0,1047,23.0,-9.0,-9.0,-9.00,931.9,1010.4,1013.5,516,1008.1,1845,9.9,1.3,14.0,-9.0,-9.00,-9.00,-9,9.6,-9.0,-9.00,5.7,447,2.2,501,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,217,0.9,791,2,3.0,1001,14,4.2,1210,23.9,29.3,1246,21.0,644,22.3,25.7,21.6,92.1,66.0,1352,27.0,-9.0,-9.0,-9.00,976.7,1011.2,1013.7,533,1008.9,1850,9.4,2.1,14.1,-9.0,-9.00,-9.00,-9,10.0,-9.0,-9.00,3.5,2004,3.0,2016,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,221,0.9,744,5,2.6,438,25,4.7,1636,24.5,28.8,1214,21.4,500,22.3,26.4,20.8,88.3,68.0,1215,26.9,-9.0,-9.0,-9.00,981.5,1011.2,1013.9,507,1008.7,1801,9.4,1.3,14.1,-9.0,-9.00,-9.00,-9,17.7,-9.0,-9.00,5.6,421,5.2,440,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,226,0.7,601,16,3.1,1548,16,5.4,1541,24.5,29.3,1243,22.7,657,22.9,26.6,22.7,92.3,67.0,1231,28.0,-9.0,-9.0,-9.00,991.9,1011.2,1013.6,4,1009.2,1841,8.9,2.3,14.0,-9.0,-9.00,-9.00,-9,14.4,-9.0,-9.00,9.0,2139,4.3,2138,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,232,1.0,892,16,3.6,1729,16,7.9,1722,25.3,29.6,1131,22.9,2218,23.9,26.8,22.9,92.5,70.0,1137,29.6,-9.0,-9.0,-9.00,1001.8,1011.1,1013.6,5,1008.4,1720,8.9,2.2,14.0,-9.0,-9.00,-9.00,-9,17.4,-9.0,-9.00,14.3,2134,5.6,2144,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,235,3.4,2949,20,7.2,2352,20,11.3,2344,25.7,27.8,907,23.5,1659,23.8,25.7,24.5,89.9,76.0,916,29.5,-9.0,-9.0,-9.00,1008.8,1009.9,1012.7,1,1007.5,1700,9.0,0.7,14.0,-9.0,-9.00,-9.00,-9,15.5,-9.0,-9.00,9.5,1524,2.4,1608,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,236,1.3,1098,16,4.1,1643,14,8.0,1639,25.7,29.3,1100,23.2,2041,23.9,27.4,23.2,90.9,70.0,1117,29.7,-9.0,-9.0,-9.00,1010.2,1011.7,1014.3,1,1009.3,1732,9.3,0.8,14.0,-9.0,-9.00,-9.00,-9,18.2,-9.0,-9.00,11.3,1952,5.1,2030,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,238,0.9,735,18,3.8,1716,18,10.8,1715,25.6,30.6,1213,23.0,632,22.8,26.9,22.7,85.9,58.0,1153,27.8,-9.0,-9.0,-9.00,992.1,1011.5,1014.0,36,1009.3,1824,9.0,2.6,14.0,-9.0,-9.00,-9.00,-9,3.8,-9.0,-9.00,3.5,1618,2.1,1617,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,239,1.2,1030,16,3.5,1710,18,5.1,1152,25.2,30.5,1118,23.0,2147,23.3,27.3,22.8,89.5,66.0,1137,28.6,-9.0,-9.0,-9.00,1000.5,1011.2,1013.8,10,1008.8,1732,9.0,2.5,14.0,-9.0,-9.00,-9.00,-9,30.0,-9.0,-9.00,17.4,2259,4.7,2119,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,243,1.5,1286,18,5.7,1548,20,9.8,1545,25.8,29.6,1223,23.7,1714,24.0,26.5,23.0,91.0,73.0,1008,29.9,-9.0,-9.0,-9.00,1009.9,1011.3,1013.7,1,1009.4,1725,9.3,2.2,13.9,-9.0,-9.00,-9.00,-9,8.1,-9.0,-9.00,4.0,1539,1.9,1539,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
