일련번호,접수일자,관할기관,로드킬_위도,로드킬_경도,가까운_관측소_번호,가까운_관측소_이름,거리_km,관측소_운영여부,평균기온,강수량
92,2020-08-06,서울 마포구,37.57425778,126.8641269,108,서울,8.97,True,3.3,6.5
93,2020-08-06,서울 마포구,37.57414668,126.8641269,108,서울,8.97,True,3.3,6.5
94,2020-08-06,울산 중구,35.5763212,129.3233655,152,울산,1.23,True,3.4,5.0
95,2020-08-07,경기 포천시,38.02759723,127.1921928,95,철원,16.58,True,0.8,2.2
96,2020-08-07,경기 포천시,38.03126351,127.1953591,95,철원,16.09,True,0.8,2.2
97,2020-08-07,경기 포천시,38.08175755,127.2076619,95,철원,11.2,True,0.8,2.2
98,2020-08-07,울산 울주군,35.56529307,129.2365684,152,울산,9.08,True,1.6,4.9
99,2020-08-07,전북 전주시 덕진구,35.83222296,127.1344263,146,전주,1.83,True,1.0,2.9
100,2020-08-07,경남 양산시,35.33428871,129.0317608,257,양산시,3.17,True,2.4,4.6
101,2020-08-07,울산 울주군,35.53632183,129.1079146,152,울산,21.14,True,1.6,4.9
102,2020-08-07,울산 울주군,35.53496087,129.107137,152,울산,21.25,True,1.6,4.9
103,2020-08-07,충남 공주시,36.45584251,127.1296601,239,세종,10.77,True,1.0,2.2
104,2020-08-07,인천 부평구,37.50034779,126.7340306,112,인천,9.95,True,1.9,3.7
105,2020-08-07,충남 아산시,36.77708021,127.0550751,232,천안,21.23,True,0.6,2.9
106,2020-08-07,전남 해남군,34.70270592,126.4007744,165,목포,12.86,True,3.4,6.8
107,2020-08-07,전남 해남군,34.68034757,126.4080798,165,목포,15.42,True,3.4,6.8
108,2020-08-07,경북 포항시 남구,36.02212908,129.3031323,138,포항,7.0,True,1.1,2.9
109,2020-08-07,,37.55992213,126.6371495,112,인천,9.21,True,1.9,3.7
110,2020-08-07,경기 안산시 상록구,37.33464777,126.8468854,119,수원,14.07,True,1.5,3.3
111,2020-08-07,경남 김해시,35.37447451,128.8233069,288,밀양,14.86,True,0.9,2.8
112,2020-08-07,제주특별자치도 서귀포시,33.26315313,126.4436372,189,서귀포,11.47,True,1.8,3.3
113,2020-08-07,경기 안산시 단원구,37.33056483,126.8410527,119,수원,14.31,True,1.5,3.3
114,2020-08-07,경기 광주시,37.46802919,127.33089,202,양평,14.62,True,1.1,2.7
115,2020-08-07,서울 강서구,37.56303683,126.8587667,108,서울,9.48,True,1.8,3.3
116,2020-08-08,경기 안산시 상록구,37.31795633,126.9011028,119,수원,9.01,True,2.1,3.9
117,2020-08-08,충북 청주시 서원구,36.54928188,127.4743466,131,청주,10.44,True,0.9,2.5
118,2020-08-08,인천 남동구,37.45465841,126.7055069,112,인천,7.56,True,2.9,5.5
119,2020-08-08,경북 울진군,36.9443258,129.3707928,130,울진,6.46,True,1.6,3.8
120,2020-08-08,서울 강동구,37.5511551,127.1743196,108,서울,18.52,True,2.3,3.7
121,2020-08-08,경기 안산시 상록구,37.31301232,126.8920482,119,수원,9.41,True,2.1,3.9
122,2020-08-08,충남 예산군,36.75013517,126.8375413,177,홍성,16.86,True,0.9,3.4
123,2020-08-08,충남 예산군,36.71458399,126.8422363,177,홍성,15.17,True,0.9,3.4
124,2020-08-08,경기 이천시,37.23403151,127.4219713,203,이천,6.44,True,0.6,1.6
125,2020-08-08,광주 남구,35.12816374,126.8924119,156,광주,4.97,True,2.0,5.7
126,2020-08-08,충남 보령시,36.31376552,126.5131398,235,보령,4.24,True,2.2,5.8
127,2020-08-08,경기 고양시 덕양구,37.73790534,126.9127842,108,서울,19.09,True,2.3,3.7
128,2020-08-08,강원 태백시,37.15893123,128.9820455,216,태백,1.43,True,0.6,2.5
129,2020-08-08,충남 논산시,36.24409102,127.1764113,133,대전,22.58,True,0.8,2.7
130,2020-08-09,충남 논산시,36.1259372,127.1008106,236,부여,22.94,True,2.5,5.0
131,2020-08-09,인천 중구,37.50531635,126.5618251,112,인천,6.36,True,5.3,9.1
132,2020-08-09,인천 중구,37.50439976,126.5602141,112,인천,6.43,True,5.3,9.1
133,2020-08-09,서울 강서구,37.55300979,126.831714,108,서울,11.99,True,2.6,6.8
134,2020-08-09,,37.59141713,126.5722105,112,인천,13.47,True,5.3,9.1
135,2020-08-09,경기 성남시 분당구,37.35631647,127.1063595,119,수원,14.21,True,2.7,7.5
136,2020-08-09,경기 성남시 분당구,37.35631647,127.1063595,119,수원,14.21,True,2.7,7.5
137,2020-08-09,경기 이천시,37.22867113,127.4262766,203,이천,6.46,True,1.6,4.6
138,2020-08-09,경기 성남시 분당구,37.3561776,127.1064151,119,수원,14.2,True,2.7,7.5
139,2020-08-09,서울 서대문구,37.57950791,126.9071226,108,서울,5.25,True,2.6,6.8
140,2020-08-09,경기 화성시,37.11564786,126.9168569,119,수원,18.44,True,2.7,7.5
141,2020-08-09,경북 고령군,35.75153257,128.3715611,143,대구,26.81,True,1.9,4.3
142,2020-08-10,제주특별자치도 서귀포시,33.23476832,126.49255,189,서귀포,6.88,True,1.4,3.0
143,2020-08-10,충남 서천군,36.02549824,126.7240993,140,군산,4.04,True,2.4,5.4
144,2020-08-10,대전 서구,36.35,127.385,133,대전,2.71,True,1.2,4.2
145,2020-08-10,경기 여주시,37.41645442,127.4556572,202,양평,8.72,True,1.2,4.1
146,2020-08-10,강원 홍천군,37.68162443,127.8749976,212,홍천,0.52,True,0.9,3.3
147,2020-08-10,세종특별자치시 세종시,36.48820272,127.2975597,239,세종,4.76,True,1.3,3.1
148,2020-08-11,경기 시흥시,37.36486431,126.7345066,112,인천,15.85,True,2.9,5.8
149,2020-08-11,경남 김해시,35.30698087,128.7362058,255,북창원,10.64,True,1.7,3.5
150,2020-08-11,경기 평택시,37.05354418,126.9114703,119,수원,25.19,True,1.9,4.7
151,2020-08-11,경기 평택시,36.96250209,127.0475985,232,천안,31.15,True,0.8,3.2
152,2020-08-11,강원 춘천시,37.9068715,127.7024521,101,춘천,2.96,True,1.2,3.1
153,2020-08-11,강원 춘천시,37.9055383,127.7008134,101,춘천,3.08,True,1.2,3.1
154,2020-08-11,경기 남양주시,37.65372724,127.2459763,108,서울,26.32,True,2.2,4.7
155,2020-08-11,충북 진천군,36.80655565,127.431788,232,천안,13.32,True,0.8,3.2
156,2020-08-11,전남 고흥군,34.62975871,127.3770732,262,고흥,9.36,True,2.2,4.5
157,2020-08-11,전남 고흥군,34.63150852,127.3779342,262,고흥,9.47,True,2.2,4.5
158,2020-08-11,전남 고흥군,34.6583942,127.3754615,262,고흥,10.16,True,2.2,4.5
159,2020-08-11,인천 서구,37.54259174,126.6834232,112,인천,8.87,True,2.9,5.8
160,2020-08-11,경기 수원시 권선구,37.28012831,126.9412666,119,수원,3.99,True,1.9,4.7
161,2020-08-11,울산 남구,35.54957305,129.2547061,152,울산,8.1,True,3.1,5.3
162,2020-08-11,제주특별자치도 서귀포시,33.28595379,126.3018721,185,고산,12.96,True,7.3,9.5
163,2020-08-12,경기 수원시 장안구,37.31081975,126.9813452,119,수원,4.3,True,0.9,4.1
164,2020-08-12,경기 안성시,36.97447587,127.2151653,232,천안,24.57,True,0.6,3.8
165,2020-08-12,인천 서구,37.59716824,126.674006,112,인천,13.97,True,2.0,4.5
166,2020-08-12,충남 서산시,36.87027979,126.408163,129,서산(농),13.28,True,1.5,3.4
167,2020-08-12,서울 성동구,37.54318096,127.0153908,108,서울,5.38,True,1.9,4.3
168,2020-08-12,경기 파주시,37.75006751,126.7458557,99,파주,15.21,True,0.4,1.7
169,2020-08-13,부산 강서구,35.01451703,128.8272609,159,부산,21.16,True,4.7,7.9
170,2020-08-13,경기 고양시 덕양구,37.61808542,126.8450998,108,서울,11.83,True,2.5,4.9
171,2020-08-13,강원 원주시,37.32033537,127.8954507,114,원주,4.91,True,1.0,3.0
172,2020-08-13,경기 수원시 장안구,37.29929325,126.9749017,119,수원,3.14,True,2.2,4.9
173,2020-08-13,충남 천안시 서북구,36.8053002,127.1206513,232,천안,16.05,True,1.3,3.1
174,2020-08-13,경기 남양주시,37.6848357,127.3079415,202,양평,27.32,True,0.9,2.9
175,2020-08-13,경기 고양시 덕양구,37.62422307,126.8181578,108,서울,14.27,True,2.5,4.9
176,2020-08-13,전남 장성군,35.30041904,126.7738632,251,고창군,15.67,True,2.6,4.6
177,2020-08-13,대구 달성군,35.88721179,128.4210805,143,대구,17.83,True,1.7,4.8
178,2020-08-13,강원 원주시,37.30178054,127.8140147,114,원주,12.38,True,1.0,3.0
179,2020-08-13,경기 의정부시,37.71443844,127.048216,108,서울,17.48,True,2.5,4.9
180,2020-08-13,경기 의왕시,37.31795711,126.9446819,119,수원,6.22,True,2.2,4.9
181,2020-08-13,인천 서구,37.51645505,126.627985,112,인천,4.32,True,4.3,6.6
182,2020-08-13,경기 김포시,37.64446579,126.5489058,201,강화,11.42,True,2.4,5.1
183,2020-08-13,경기 김포시,37.64466021,126.5485725,201,강화,11.39,True,2.4,5.1
184,2020-08-14,서울 구로구,37.48440688,126.8228002,108,서울,15.89,True,3.5,5.7
185,2020-08-14,서울 영등포구,37.52354268,126.9167343,108,서울,6.86,True,3.5,5.7
186,2020-08-14,충남 아산시,36.84526631,127.0490738,232,천안,23.57,True,1.9,5.5
187,2020-08-14,서울 노원구,37.65750142,127.0740485,108,서울,13.51,True,3.5,5.7
188,2020-08-14,충남 아산시,36.78113319,126.9376697,177,홍성,26.17,True,3.4,5.8
189,2020-08-14,경기 화성시,37.05601335,126.7561242,119,수원,31.48,True,3.0,5.5
190,2020-08-14,경남 하동군,35.21580936,127.8759835,192,진주,15.99,True,1.5,3.0
191,2020-08-14,충남 아산시,36.8718463,127.0418516,232,천안,25.43,True,1.9,5.5
192,2020-08-14,충남 당진시,36.97294011,126.7569041,129,서산(농),32.09,True,3.8,5.6
193,2020-08-14,서울 강남구,37.49068852,127.0793861,108,서울,13.45,True,3.5,5.7
194,2020-08-14,대구 수성구,35.83530519,128.6301733,143,대구,5.64,True,2.3,5.5
195,2020-08-15,경기 평택시,37.09179236,127.0686762,119,수원,21.39,True,1.6,3.4
196,2020-08-15,강원 원주시,37.33844387,127.8735634,114,원주,6.46,True,0.7,2.2
197,2020-08-15,경기 광주시,37.35432196,127.3946927,203,이천,12.79,True,1.0,2.8
198,2020-08-15,충남 아산시,36.84156918,126.873202,177,홍성,26.3,True,2.9,5.0
199,2020-08-15,인천 서구,37.53139797,126.6445385,112,인천,6.22,True,2.6,7.5
200,2020-08-15,부산 해운대구,35.16547766,129.1591147,159,부산,13.39,True,4.0,7.0
201,2020-08-15,서울 양천구,37.54309509,126.8739324,108,서울,8.69,True,1.9,5.6
202,2020-08-15,경기 이천시,37.09560656,127.5702109,203,이천,20.22,True,1.0,2.8
203,2020-08-15,경기 성남시 분당구,37.38334174,127.1493268,119,수원,19.05,True,1.6,3.4
204,2020-08-15,경북 경주시,35.7780473,129.3219154,283,경주시,11.76,True,2.1,5.1
205,2020-08-15,경기 포천시,37.95446938,127.3052672,95,철원,21.51,True,1.1,2.6
206,2020-08-15,강원 동해시,37.55399734,129.120159,106,동해,5.23,True,0.9,3.5
207,2020-08-15,강원 동해시,37.55408067,129.1202145,106,동해,5.24,True,0.9,3.5
208,2020-08-15,전북 전주시 완산구,35.81228043,127.1076516,146,전주,3.3,True,1.7,3.8
209,2020-08-15,충남 서산시,36.82320104,126.3435872,129,서산(농),14.64,True,2.7,4.1
210,2020-08-15,경기 김포시,37.66127165,126.6811979,112,인천,21.01,True,2.6,7.5
211,2020-08-16,서울 도봉구,37.63678108,127.0384692,108,서울,9.69,True,3.0,5.2
212,2020-08-16,경기 김포시,37.60658451,126.7163904,112,인천,16.45,True,3.7,5.7
213,2020-08-16,충남 공주시,36.33038331,127.0122025,236,부여,10.42,True,1.3,4.3
214,2020-08-16,충남 공주시,36.38615558,127.0803611,239,세종,18.35,True,1.3,3.0
215,2020-08-16,경기 광주시,37.47133406,127.3150304,202,양평,15.95,True,1.1,3.2
216,2020-08-16,충북 음성군,36.88788232,127.6052134,232,천안,31.12,True,1.1,3.2
217,2020-08-16,충북 진천군,36.85477413,127.5464423,232,천안,24.82,True,1.1,3.2
218,2020-08-16,충남 금산군,36.04834354,127.5601577,238,금산,9.49,True,1.1,3.2
219,2020-08-16,강원 평창군,37.68769506,128.6981677,100,대관령,2.13,True,5.0,8.6
220,2020-08-16,전남 여수시,34.61126806,127.7915349,168,여수,14.98,True,3.2,6.4
221,2020-08-16,충남 공주시,36.48617227,127.1342699,239,세종,9.85,True,1.3,3.0
222,2020-08-16,충남 예산군,36.7504383,126.7014989,177,홍성,10.4,True,2.8,5.2
223,2020-08-16,경기 용인시 기흥구,37.25607919,127.1359706,119,수원,13.45,True,2.2,4.5
224,2020-08-16,인천 미추홀구,37.46482356,126.6900081,112,인천,5.92,True,3.7,5.7
225,2020-08-16,경기 하남시,37.57104169,127.1812905,108,서울,18.99,True,3.0,5.2
226,2020-08-16,경북 경산시,35.81517205,128.8093792,143,대구,18.84,True,1.5,3.9
227,2020-08-16,충남 태안군,36.82972668,126.2652613,129,서산(농),21.46,True,3.4,5.1
228,2020-08-16,충남 태안군,36.80770267,126.3292556,129,서산(농),15.31,True,3.4,5.1
229,2020-08-17,서울 서초구,37.47074588,127.0451122,108,서울,13.2,True,2.3,4.1
230,2020-08-17,경남 창원시 의창구,35.26695552,128.6117741,255,북창원,7.12,True,1.0,2.7
231,2020-08-17,전남 해남군,34.41446431,126.531519,170,완도,15.76,True,1.2,3.3
232,2020-08-17,충남 아산시,36.8803432,126.9258348,177,홍성,32.61,True,1.6,3.2
233,2020-08-17,강원 횡성군,37.42323884,127.8573125,114,원주,12.37,True,0.8,2.2
234,2020-08-17,서울 성동구,37.55509662,127.0400825,108,서울,6.79,True,2.3,4.1
235,2020-08-17,충남 예산군,36.65950565,126.7474136,177,홍성,5.33,True,1.6,3.2
236,2020-08-17,충남 아산시,36.80276932,126.9294754,177,홍성,26.92,True,1.6,3.2
237,2020-08-17,충남 아산시,36.69181156,126.9890838,177,홍성,27.15,True,1.6,3.2
238,2020-08-17,,37.1419192,126.7345128,119,수원,26.52,True,1.5,3.4
239,2020-08-17,경기 안양시 동안구,37.40203051,126.961039,119,수원,14.58,True,1.5,3.4
240,2020-08-17,충북 청주시 흥덕구,36.67145966,127.3670202,181,서청주,3.84,True,,
241,2020-08-17,경기 남양주시,37.66450167,127.134709,108,서울,18.12,True,2.3,4.1
242,2020-08-17,경기 남양주시,37.66019661,127.1332926,108,서울,17.75,True,2.3,4.1
243,2020-08-17,경기 양평군,37.4232899,127.6167525,202,양평,13.01,True,0.8,2.3
244,2020-08-17,경기 양평군,37.42167897,127.6158637,202,양평,13.04,True,0.8,2.3
245,2020-08-17,경기 양평군,37.41826268,127.6140029,202,양평,13.13,True,0.8,2.3
246,2020-08-17,,35.92726957,127.2721051,146,전주,16.94,True,1.0,2.6
247,2020-08-17,경기 고양시 일산동구,37.72173923,126.8340979,99,파주,19.2,True,1.2,3.2
248,2020-08-17,경기 포천시,38.08011886,127.2074398,95,철원,11.33,True,0.9,2.7
249,2020-08-17,경기 광주시,37.37692777,127.2550111,203,이천,23.84,True,0.7,2.1
250,2020-08-18,경기 안산시 단원구,37.33614701,126.8144163,119,수원,16.7,True,1.2,2.9
251,2020-08-18,인천 남동구,37.44463235,126.7335322,112,인천,10.27,True,1.9,3.8
252,2020-08-18,대구 북구,35.89890833,128.6085069,143,대구,1.79,True,1.5,3.6
253,2020-08-18,경기 평택시,37.12539944,127.0711472,119,수원,18.02,True,1.2,2.9
254,2020-08-18,서울 서초구,37.47066261,127.048223,108,서울,13.35,True,1.6,3.6
255,2020-08-18,충남 논산시,36.17457204,127.2024385,238,금산,26.23,True,0.9,2.2
256,2020-08-18,경기 평택시,37.05210243,127.0524844,119,수원,25.2,True,1.2,2.9
257,2020-08-18,전남 여수시,34.75691543,127.6676261,168,여수,6.95,True,1.9,4.5
258,2020-08-18,강원 인제군,37.8758303,128.2575657,211,인제,21.95,True,1.1,3.4
259,2020-08-18,충남 천안시 서북구,36.85076747,127.1513693,232,천안,15.96,True,0.8,2.7
260,2020-08-18,충북 청주시 청원구,36.7298989,127.468731,131,청주,10.39,True,1.2,2.5
261,2020-08-18,경기 평택시,37.11651052,127.0094035,119,수원,17.45,True,1.2,2.9
262,2020-08-18,강원 강릉시,37.78163275,128.9346697,105,강릉,5.1,True,2.2,4.1
263,2020-08-18,서울 광진구,37.53329446,127.0808847,108,서울,10.99,True,1.6,3.6
264,2020-08-18,서울 구로구,37.4942949,126.8414647,108,서울,13.92,True,1.6,3.6
265,2020-08-19,강원 원주시,37.30589314,127.9203932,114,원주,4.21,True,0.9,2.9
266,2020-08-19,강원 원주시,37.30250465,127.9197822,114,원주,4.56,True,0.9,2.9
267,2020-08-19,경남 산청군,35.36645768,127.8477599,289,산청,5.9,True,0.9,3.0
268,2020-08-19,충남 홍성군,36.64128562,126.7466364,177,홍성,5.56,True,1.3,3.5
269,2020-08-19,경기 평택시,37.08601495,127.0504003,119,수원,21.5,True,1.7,4.7
270,2020-08-19,인천 계양구,37.5787557,126.7790518,108,서울,16.48,True,2.0,4.4
271,2020-08-19,서울 강남구,37.48738276,127.0458339,108,서울,11.71,True,2.0,4.4
272,2020-08-19,충남 홍성군,36.57792957,126.5983468,177,홍성,11.92,True,1.3,3.5
273,2020-08-19,인천 서구,37.57072747,126.6987265,112,인천,12.22,True,2.0,3.6
274,2020-08-19,대구 북구,35.95276252,128.5811468,143,대구,8.25,True,2.1,4.6
275,2020-08-19,경기 화성시,37.0761238,126.8563083,119,수원,24.63,True,1.7,4.7
276,2020-08-19,세종특별자치시 세종시,36.49075717,127.2532028,239,세종,1.0,True,1.3,2.5
277,2020-08-19,경기 양주시,37.83834098,127.1034293,98,동두천,8.0,True,1.2,3.5
278,2020-08-19,충남 예산군,36.72016338,126.6557264,177,홍성,7.52,True,1.3,3.5
280,2020-08-19,경기 시흥시,37.3729206,126.8305525,119,수원,17.68,True,1.7,4.7
281,2020-08-19,강원 홍천군,37.82642314,128.4385496,100,대관령,29.68,True,3.4,6.1
282,2020-08-19,서울 성동구,37.54595901,127.0489986,108,서울,7.86,True,2.0,4.4
283,2020-08-19,충북 청주시 흥덕구,36.62043807,127.3686881,181,서청주,2.6,True,,
284,2020-08-19,강원 화천군,38.06051582,127.5126327,95,철원,20.66,True,1.0,2.7
285,2020-08-19,울산 울주군,35.55881966,129.133856,152,울산,18.35,True,1.3,2.9
286,2020-08-19,경기 성남시 분당구,37.36742659,127.1265517,119,수원,16.37,True,1.7,4.7
287,2020-08-20,경기 파주시,37.82578111,126.7814612,99,파주,6.81,True,0.8,2.1
288,2020-08-20,경남 김해시,35.19971698,128.8025081,253,김해시,8.69,True,1.6,4.3
289,2020-08-20,경남 김해시,35.20410525,128.7973418,253,김해시,8.96,True,1.6,4.3
290,2020-08-20,인천 강화군,37.67548867,126.4866054,201,강화,5.02,True,1.3,3.9
291,2020-08-20,서울 구로구,37.48543505,126.8518806,108,서울,13.87,True,1.7,4.2
292,2020-08-20,인천 계양구,37.53001099,126.7424734,112,인천,11.89,True,2.1,4.2
293,2020-08-20,경북 울진군,36.89355504,129.4177899,130,울진,10.93,True,1.9,3.6
294,2020-08-20,충남 공주시,36.54127489,127.0299729,239,세종,20.15,True,1.1,2.6
295,2020-08-20,제주특별자치도 제주시,33.47032441,126.5016827,184,제주,5.52,True,2.0,4.1
296,2020-08-20,경기 화성시,37.17388616,126.6563528,119,수원,31.11,True,1.4,3.8
